,zc
1485,60606
1486,60606
1487,60601
1488,60610
1489,60606
1490,60618
1491,60622
1492,60614
1493,60622
1494,60622
1495,60614
1496,60613
1497,60640
1498,9020
1499,60603
1500,60661
1501,60606
1502,60644
1503,60601
1504,60606
1505,60657
1506,nan
1507,60610
1508,60610
1509,60637
1510,60610
1511,60610
1512,60614
1513,60614
1514,60657
1515,60606
1516,nan
1517,60606
1518,60661
1519,nan
1520,60606
1521,nan
1522,nan
1523,nan
1524,60606
1525,60601
1526,60606
1527,60606
1528,60622
1529,60614
1530,60614
1531,60622
1532,60614
1533,60611
1534,60611
1535,nan
1536,60606
1537,60661
1538,60614
1539,60640
1540,nan
1541,60611
1542,60601
1543,60625
1544,60625
1545,60613
1546,60640
1547,60661
1548,60657
1549,60201
1550,60657
1551,60657
1552,60606
1553,60601
1554,60654
1555,60661
1556,60606
1557,60601
1558,60661
1559,60661
1560,60661
1561,60661
1562,60654
1563,60613
1564,60604
1565,60602
1566,60604
1567,60616
1568,60625
1569,60625
1570,60625
1571,60618
1572,60625
1573,nan
1574,nan
1575,60625
1576,60625
1577,60614
1578,60642
1579,60661
1580,60696
1581,60651
1582,60696
1583,60651
1584,60651
1585,60651
1586,60696
1587,60661
1588,60651
1589,60602
1590,60661
1591,60611
1592,60611
1593,60661
1594,60610
1595,60611
1596,60601
1597,60651
1598,60611
1599,60661
1600,nan
1601,60647
1602,nan
1603,nan
1604,60647
1605,60696
1606,60614
1607,60601
1608,60610
1609,60604
1610,60614
1611,60657
1612,60614
1613,60661
1614,60614
1615,60613
1616,60613
1617,60614
1618,60610
1619,60601
1620,60660
1621,60616
1622,60651
1623,60622
1624,60622
1625,60622
1626,60651
1627,60651
1628,60651
1629,60622
1630,60653
1631,60616
1632,60653
1633,60616
1634,60653
1635,60616
1636,nan
1637,60620
1638,60612
1639,60616
1640,60601
1641,60611
1642,60606
1643,60613
1644,60647
1645,60610
1646,60614
1647,60610
1648,60614
1649,60608
1650,60654
1651,60661
1652,60657
1653,60606
1654,60661
1655,60607
1656,60614
1657,60614
1658,60640
1659,60614
1660,60625
1661,60625
1662,60610
1663,60614
1664,60610
1665,60614
1666,60614
1667,60610
1668,60614
1669,60642
1670,60654
1671,60642
1672,60642
1673,60616
1674,60626
1675,60642
1676,60607
1677,60642
1678,60661
1679,60626
1680,60616
1681,60642
1682,60661
1683,60614
1684,60642
1685,60661
1686,60604
1687,nan
1688,60654
1689,60604
1690,60602
1691,60602
1692,60604
1693,60604
1694,60602
1695,60604
1696,60606
1697,60610
1698,60614
1699,60610
